Part number,description,manufacturer,quantity,category
TMP8085AP-2,CPU,Toshiba,4
D0808-42,DIP-08-WW,Harwin,13
D0814-42,DIP-14-WW,Harwin,30
D0816-42,DIP-16-WW,Harwin,36
D0818-42,DIP-18-WW,Harwin,8
123-93-320-41-001000,DIP-20-WW,Mill-Max,5
123-43-624-41-801000,DIP-24-WW,Mill-Max,13
123-47-628-41-001000,DIP-28-WW,Mill-Max,8
123-47-640-41-001000,DIP-40-WW,Mill-Max,9
123-47-648-41-001000,DIP-48-WW,Mill-Max,1
251-05000,5 MHz crystal,Parallax,10
485-1713,MAX9814,Adafruit,6
101110,CdS Photoresistor,Soldered,30
SN74LS373N,Octal D-Type,TI,20
SN74LS00N,Quad 2-In Pos NAND,TI,60
SN74LS04N,Hex Inv w/HV Output,TI,60
SN74LS14N,Hex Schmitt-Trigger,TI,10,
SN74LS123N,Dual Mono,TI,10,
WP57IID,BI-POLAR RED DIFF,Kingbright,50
WP7113ED,ORANGE DIFFUSED,Kingbright,25
WP7113ND,PURE ORANGE DIFFUSED,Kingbright,25
WP1034GDT,Green Diffused 568nm 6mcd,Kingbright,20
RN60D3300FB14,1/4watt 330ohms 1% 1 00ppm,Vishay,10
MF1/4DCT52R1002F,10Kohms 1% 100PPM,KOA,100
MFR25SFRF52-4K7,4.7 kOhms Metal Film Resistors,YAEGO,100,
8801-6,"5.30 X 10 X .062 042"" Hole Diameter",Vector,4
R681-2,"RECEPTACLE 042"" Hole Diameter",Vector,2
T46-3-9/C,Terminals 100 PER PKG,Vector,10
K24A/C,"PCB PIN,PK 100,FOR .042""HOLE",Vector,1
R32/C,"Pin Sockets, PK 100",Vector,1
HW-UW-2829M,Wire Wrap Tools WRAP-UNWRAP TOOL 28-29 A,Jonard,1,
801-R28,28AWG KYNAR INSUL 100' SPOOL,Jonard,8
9976 002100,26AWG 1C PVC 100ft SPOOL RED,Belkin,1
3050/1 BK005,24AWG SOLID PVC 100ft SPOOL BLACK,Alpha Wire,1
J1-00105,PRECISION SWTCH STICK,ETI Systems,1
ABX00027,Nano 33 IoT,Arduino,4
2022053113F,20-pin flat ribbon 28 AWG - m,AWM,30
2N2222A,"BJT, TO-92, 40V, 600 mA, NPN",Diotec,100
